"date","value","year","week_label_clean","pref","category"
"2012-10-07",0,2012,"October 1–7, 2012","Tokyo","Chlamydia pneumonia"
"2012-10-14",0.04,2012,"October 8–14, 2012","Tokyo","Flu"
"2012-10-14",0.28,2012,"October 8–14, 2012","Tokyo","Adenovirus infection"
"2012-10-14",1.15,2012,"October 8–14, 2012","Tokyo","Strep throat"
"2012-10-14",2.97,2012,"October 8–14, 2012","Tokyo","Gastroenteritis"
"2012-10-14",0.49,2012,"October 8–14, 2012","Tokyo","Chickenpox"
"2012-10-14",0.49,2012,"October 8–14, 2012","Tokyo","Hand-foot-mouth disease"
"2012-10-14",0.03,2012,"October 8–14, 2012","Tokyo","Fifth disease"
"2012-10-14",0.66,2012,"October 8–14, 2012","Tokyo","Roseola"
"2012-10-14",0.02,2012,"October 8–14, 2012","Tokyo","Whooping cough"
"2012-10-14",0.31,2012,"October 8–14, 2012","Tokyo","Herpangina"
"2012-10-14",0.29,2012,"October 8–14, 2012","Tokyo","Mumps"
"2012-10-14",0,2012,"October 8–14, 2012","Tokyo","Hemorrhagic conjunctivitis"
"2012-10-14",0.32,2012,"October 8–14, 2012","Tokyo","Viral conjunctivitis"
"2012-10-14",0.04,2012,"October 8–14, 2012","Tokyo","Bacterial meningitis"
"2012-10-14",0.04,2012,"October 8–14, 2012","Tokyo","Viral meningitis"
"2012-10-14",1.21,2012,"October 8–14, 2012","Tokyo","Mycoplasma pneumonia"
"2012-10-14",0,2012,"October 8–14, 2012","Tokyo","Chlamydia pneumonia"
"2012-10-21",0.05,2012,"October 15–21, 2012","Tokyo","Flu"
"2012-10-21",0.33,2012,"October 15–21, 2012","Tokyo","Adenovirus infection"
"2012-10-21",1.31,2012,"October 15–21, 2012","Tokyo","Strep throat"
"2012-10-21",4.14,2012,"October 15–21, 2012","Tokyo","Gastroenteritis"
"2012-10-21",0.4,2012,"October 15–21, 2012","Tokyo","Chickenpox"
"2012-10-21",0.4,2012,"October 15–21, 2012","Tokyo","Hand-foot-mouth disease"
"2012-10-21",0.05,2012,"October 15–21, 2012","Tokyo","Fifth disease"
"2012-10-21",0.66,2012,"October 15–21, 2012","Tokyo","Roseola"
"2012-10-21",0.01,2012,"October 15–21, 2012","Tokyo","Whooping cough"
"2012-10-21",0.18,2012,"October 15–21, 2012","Tokyo","Herpangina"
"2012-10-21",0.2,2012,"October 15–21, 2012","Tokyo","Mumps"
"2012-10-21",0,2012,"October 15–21, 2012","Tokyo","Hemorrhagic conjunctivitis"
"2012-10-21",0.45,2012,"October 15–21, 2012","Tokyo","Viral conjunctivitis"
"2012-10-21",0,2012,"October 15–21, 2012","Tokyo","Bacterial meningitis"
"2012-10-21",0.17,2012,"October 15–21, 2012","Tokyo","Viral meningitis"
"2012-10-21",1.29,2012,"October 15–21, 2012","Tokyo","Mycoplasma pneumonia"
"2012-10-21",0.04,2012,"October 15–21, 2012","Tokyo","Chlamydia pneumonia"
"2012-10-28",0.04,2012,"October 22–28, 2012","Tokyo","Flu"
"2012-10-28",0.32,2012,"October 22–28, 2012","Tokyo","Adenovirus infection"
