"date","value","year","week_label_clean","pref","category"
"2012-10-07",1.26,2012,"October 1–7, 2012","Nationwide","Mycoplasma pneumonia"
"2012-10-07",0.03,2012,"October 1–7, 2012","Nationwide","Chlamydia pneumonia"
"2012-10-14",0.06,2012,"October 8–14, 2012","Nationwide","Flu"
"2012-10-14",0.15,2012,"October 8–14, 2012","Nationwide","Adenovirus infection"
"2012-10-14",0.87,2012,"October 8–14, 2012","Nationwide","Strep throat"
"2012-10-14",2.97,2012,"October 8–14, 2012","Nationwide","Gastroenteritis"
"2012-10-14",0.53,2012,"October 8–14, 2012","Nationwide","Chickenpox"
"2012-10-14",0.69,2012,"October 8–14, 2012","Nationwide","Hand-foot-mouth disease"
"2012-10-14",0.04,2012,"October 8–14, 2012","Nationwide","Fifth disease"
"2012-10-14",0.54,2012,"October 8–14, 2012","Nationwide","Roseola"
"2012-10-14",0.02,2012,"October 8–14, 2012","Nationwide","Whooping cough"
"2012-10-14",0.22,2012,"October 8–14, 2012","Nationwide","Herpangina"
"2012-10-14",0.33,2012,"October 8–14, 2012","Nationwide","Mumps"
"2012-10-14",0.01,2012,"October 8–14, 2012","Nationwide","Hemorrhagic conjunctivitis"
"2012-10-14",0.54,2012,"October 8–14, 2012","Nationwide","Viral conjunctivitis"
"2012-10-14",0.02,2012,"October 8–14, 2012","Nationwide","Bacterial meningitis"
"2012-10-14",0.02,2012,"October 8–14, 2012","Nationwide","Viral meningitis"
"2012-10-14",1.08,2012,"October 8–14, 2012","Nationwide","Mycoplasma pneumonia"
"2012-10-14",0.05,2012,"October 8–14, 2012","Nationwide","Chlamydia pneumonia"
"2012-10-21",0.05,2012,"October 15–21, 2012","Nationwide","Flu"
"2012-10-21",0.18,2012,"October 15–21, 2012","Nationwide","Adenovirus infection"
"2012-10-21",1.13,2012,"October 15–21, 2012","Nationwide","Strep throat"
"2012-10-21",3.74,2012,"October 15–21, 2012","Nationwide","Gastroenteritis"
"2012-10-21",0.5,2012,"October 15–21, 2012","Nationwide","Chickenpox"
"2012-10-21",0.64,2012,"October 15–21, 2012","Nationwide","Hand-foot-mouth disease"
"2012-10-21",0.04,2012,"October 15–21, 2012","Nationwide","Fifth disease"
"2012-10-21",0.59,2012,"October 15–21, 2012","Nationwide","Roseola"
"2012-10-21",0.02,2012,"October 15–21, 2012","Nationwide","Whooping cough"
"2012-10-21",0.15,2012,"October 15–21, 2012","Nationwide","Herpangina"
"2012-10-21",0.4,2012,"October 15–21, 2012","Nationwide","Mumps"
"2012-10-21",0.02,2012,"October 15–21, 2012","Nationwide","Hemorrhagic conjunctivitis"
"2012-10-21",0.52,2012,"October 15–21, 2012","Nationwide","Viral conjunctivitis"
"2012-10-21",0.01,2012,"October 15–21, 2012","Nationwide","Bacterial meningitis"
"2012-10-21",0.03,2012,"October 15–21, 2012","Nationwide","Viral meningitis"
"2012-10-21",1.28,2012,"October 15–21, 2012","Nationwide","Mycoplasma pneumonia"
"2012-10-21",0.03,2012,"October 15–21, 2012","Nationwide","Chlamydia pneumonia"
"2012-10-28",0.06,2012,"October 22–28, 2012","Nationwide","Flu"
"2012-10-28",0.2,2012,"October 22–28, 2012","Nationwide","Adenovirus infection"
"2012-10-28",1.22,2012,"October 22–28, 2012","Nationwide","Strep throat"
"2012-10-28",4.64,2012,"October 22–28, 2012","Nationwide","Gastroenteritis"
"2012-10-28",0.72,2012,"October 22–28, 2012","Nationwide","Chickenpox"
"2012-10-28",0.63,2012,"October 22–28, 2012","Nationwide","Hand-foot-mouth disease"
"2012-10-28",0.04,2012,"October 22–28, 2012","Nationwide","Fifth disease"
"2012-10-28",0.61,2012,"October 22–28, 2012","Nationwide","Roseola"
"2012-10-28",0.03,2012,"October 22–28, 2012","Nationwide","Whooping cough"
"2012-10-28",0.13,2012,"October 22–28, 2012","Nationwide","Herpangina"
"2012-10-28",0.32,2012,"October 22–28, 2012","Nationwide","Mumps"
"2012-10-28",0.01,2012,"October 22–28, 2012","Nationwide","Hemorrhagic conjunctivitis"
"2012-10-28",0.51,2012,"October 22–28, 2012","Nationwide","Viral conjunctivitis"
"2012-10-28",0.03,2012,"October 22–28, 2012","Nationwide","Bacterial meningitis"
"2012-10-28",0.03,2012,"October 22–28, 2012","Nationwide","Viral meningitis"
"2012-10-28",1.28,2012,"October 22–28, 2012","Nationwide","Mycoplasma pneumonia"
"2012-10-28",0.05,2012,"October 22–28, 2012","Nationwide","Chlamydia pneumonia"
"2012-11-04",0.07,2012,"October 29 – November 4, 2012","Nationwide","Flu"
"2012-11-04",0.19,2012,"October 29 – November 4, 2012","Nationwide","Adenovirus infection"
"2012-11-04",1.23,2012,"October 29 – November 4, 2012","Nationwide","Strep throat"
"2012-11-04",5.58,2012,"October 29 – November 4, 2012","Nationwide","Gastroenteritis"
"2012-11-04",0.79,2012,"October 29 – November 4, 2012","Nationwide","Chickenpox"
"2012-11-04",0.55,2012,"October 29 – November 4, 2012","Nationwide","Hand-foot-mouth disease"
"2012-11-04",0.04,2012,"October 29 – November 4, 2012","Nationwide","Fifth disease"
"2012-11-04",0.54,2012,"October 29 – November 4, 2012","Nationwide","Roseola"
"2012-11-04",0.02,2012,"October 29 – November 4, 2012","Nationwide","Whooping cough"
"2012-11-04",0.1,2012,"October 29 – November 4, 2012","Nationwide","Herpangina"
"2012-11-04",0.34,2012,"October 29 – November 4, 2012","Nationwide","Mumps"
"2012-11-04",0,2012,"October 29 – November 4, 2012","Nationwide","Hemorrhagic conjunctivitis"
"2012-11-04",0.4,2012,"October 29 – November 4, 2012","Nationwide","Viral conjunctivitis"
"2012-11-04",0.01,2012,"October 29 – November 4, 2012","Nationwide","Bacterial meningitis"
"2012-11-04",0.04,2012,"October 29 – November 4, 2012","Nationwide","Viral meningitis"
"2012-11-04",1.31,2012,"October 29 – November 4, 2012","Nationwide","Mycoplasma pneumonia"
"2012-11-04",0.05,2012,"October 29 – November 4, 2012","Nationwide","Chlamydia pneumonia"
"2012-11-11",0.11,2012,"November 5–11, 2012","Nationwide","Flu"
"2012-11-11",0.27,2012,"November 5–11, 2012","Nationwide","Adenovirus infection"
"2012-11-11",1.66,2012,"November 5–11, 2012","Nationwide","Strep throat"
"2012-11-11",8.75,2012,"November 5–11, 2012","Nationwide","Gastroenteritis"
"2012-11-11",1.09,2012,"November 5–11, 2012","Nationwide","Chickenpox"
"2012-11-11",0.59,2012,"November 5–11, 2012","Nationwide","Hand-foot-mouth disease"
"2012-11-11",0.05,2012,"November 5–11, 2012","Nationwide","Fifth disease"
"2012-11-11",0.6,2012,"November 5–11, 2012","Nationwide","Roseola"
"2012-11-11",0.02,2012,"November 5–11, 2012","Nationwide","Whooping cough"
"2012-11-11",0.08,2012,"November 5–11, 2012","Nationwide","Herpangina"
"2012-11-11",0.4,2012,"November 5–11, 2012","Nationwide","Mumps"
"2012-11-11",0.01,2012,"November 5–11, 2012","Nationwide","Hemorrhagic conjunctivitis"
"2012-11-11",0.57,2012,"November 5–11, 2012","Nationwide","Viral conjunctivitis"
"2012-11-11",0.03,2012,"November 5–11, 2012","Nationwide","Bacterial meningitis"
"2012-11-11",0.03,2012,"November 5–11, 2012","Nationwide","Viral meningitis"
"2012-11-11",1.26,2012,"November 5–11, 2012","Nationwide","Mycoplasma pneumonia"
"2012-11-11",0.04,2012,"November 5–11, 2012","Nationwide","Chlamydia pneumonia"
"2012-11-18",0.14,2012,"November 12–18, 2012","Nationwide","Flu"
"2012-11-18",0.3,2012,"November 12–18, 2012","Nationwide","Adenovirus infection"
"2012-11-18",1.66,2012,"November 12–18, 2012","Nationwide","Strep throat"
"2012-11-18",11.39,2012,"November 12–18, 2012","Nationwide","Gastroenteritis"
"2012-11-18",1.28,2012,"November 12–18, 2012","Nationwide","Chickenpox"
"2012-11-18",0.55,2012,"November 12–18, 2012","Nationwide","Hand-foot-mouth disease"
"2012-11-18",0.04,2012,"November 12–18, 2012","Nationwide","Fifth disease"
"2012-11-18",0.59,2012,"November 12–18, 2012","Nationwide","Roseola"
"2012-11-18",0.03,2012,"November 12–18, 2012","Nationwide","Whooping cough"
"2012-11-18",0.08,2012,"November 12–18, 2012","Nationwide","Herpangina"
"2012-11-18",0.33,2012,"November 12–18, 2012","Nationwide","Mumps"
"2012-11-18",0.01,2012,"November 12–18, 2012","Nationwide","Hemorrhagic conjunctivitis"
"2012-11-18",0.58,2012,"November 12–18, 2012","Nationwide","Viral conjunctivitis"
"2012-11-18",0.01,2012,"November 12–18, 2012","Nationwide","Bacterial meningitis"
"2012-11-18",0.03,2012,"November 12–18, 2012","Nationwide","Viral meningitis"
"2012-11-18",1.32,2012,"November 12–18, 2012","Nationwide","Mycoplasma pneumonia"
"2012-11-18",0.06,2012,"November 12–18, 2012","Nationwide","Chlamydia pneumonia"
"2012-11-25",0.22,2012,"November 19–25, 2012","Nationwide","Flu"
"2012-11-25",0.32,2012,"November 19–25, 2012","Nationwide","Adenovirus infection"
"2012-11-25",1.57,2012,"November 19–25, 2012","Nationwide","Strep throat"
"2012-11-25",13.02,2012,"November 19–25, 2012","Nationwide","Gastroenteritis"
"2012-11-25",1.46,2012,"November 19–25, 2012","Nationwide","Chickenpox"
"2012-11-25",0.46,2012,"November 19–25, 2012","Nationwide","Hand-foot-mouth disease"
"2012-11-25",0.04,2012,"November 19–25, 2012","Nationwide","Fifth disease"
"2012-11-25",0.5,2012,"November 19–25, 2012","Nationwide","Roseola"
"2012-11-25",0.02,2012,"November 19–25, 2012","Nationwide","Whooping cough"
"2012-11-25",0.06,2012,"November 19–25, 2012","Nationwide","Herpangina"
"2012-11-25",0.32,2012,"November 19–25, 2012","Nationwide","Mumps"
"2012-11-25",0.01,2012,"November 19–25, 2012","Nationwide","Hemorrhagic conjunctivitis"
"2012-11-25",0.48,2012,"November 19–25, 2012","Nationwide","Viral conjunctivitis"
"2012-11-25",0.01,2012,"November 19–25, 2012","Nationwide","Bacterial meningitis"
"2012-11-25",0.04,2012,"November 19–25, 2012","Nationwide","Viral meningitis"
"2012-11-25",1.06,2012,"November 19–25, 2012","Nationwide","Mycoplasma pneumonia"
"2012-11-25",0.05,2012,"November 19–25, 2012","Nationwide","Chlamydia pneumonia"
"2012-12-02",0.31,2012,"November 26 – December 2, 2012","Nationwide","Flu"
"2012-12-02",0.37,2012,"November 26 – December 2, 2012","Nationwide","Adenovirus infection"
"2012-12-02",1.76,2012,"November 26 – December 2, 2012","Nationwide","Strep throat"
"2012-12-02",18,2012,"November 26 – December 2, 2012","Nationwide","Gastroenteritis"
"2012-12-02",1.73,2012,"November 26 – December 2, 2012","Nationwide","Chickenpox"
"2012-12-02",0.42,2012,"November 26 – December 2, 2012","Nationwide","Hand-foot-mouth disease"
"2012-12-02",0.05,2012,"November 26 – December 2, 2012","Nationwide","Fifth disease"
"2012-12-02",0.54,2012,"November 26 – December 2, 2012","Nationwide","Roseola"
"2012-12-02",0.02,2012,"November 26 – December 2, 2012","Nationwide","Whooping cough"
"2012-12-02",0.06,2012,"November 26 – December 2, 2012","Nationwide","Herpangina"
"2012-12-02",0.38,2012,"November 26 – December 2, 2012","Nationwide","Mumps"
"2012-12-02",0.01,2012,"November 26 – December 2, 2012","Nationwide","Hemorrhagic conjunctivitis"
"2012-12-02",0.62,2012,"November 26 – December 2, 2012","Nationwide","Viral conjunctivitis"
"2012-12-02",0.01,2012,"November 26 – December 2, 2012","Nationwide","Bacterial meningitis"
"2012-12-02",0.04,2012,"November 26 – December 2, 2012","Nationwide","Viral meningitis"
"2012-12-02",1.2,2012,"November 26 – December 2, 2012","Nationwide","Mycoplasma pneumonia"
"2012-12-02",0.04,2012,"November 26 – December 2, 2012","Nationwide","Chlamydia pneumonia"
"2012-12-09",0.57,2012,"December 3–9, 2012","Nationwide","Flu"
"2012-12-09",0.42,2012,"December 3–9, 2012","Nationwide","Adenovirus infection"
"2012-12-09",2.06,2012,"December 3–9, 2012","Nationwide","Strep throat"
"2012-12-09",19.62,2012,"December 3–9, 2012","Nationwide","Gastroenteritis"
"2012-12-09",1.78,2012,"December 3–9, 2012","Nationwide","Chickenpox"
"2012-12-09",0.43,2012,"December 3–9, 2012","Nationwide","Hand-foot-mouth disease"
"2012-12-09",0.05,2012,"December 3–9, 2012","Nationwide","Fifth disease"
